loan_percent_income,loan_int_rate,loan_amnt,previous_loan_defaults_on_file
0.37,16.49,25000.0,No
0.31,15.33,25000.0,No
0.31,11.58,25000.0,No
0.29,5.79,5375.0,No
0.28,13.11,25000.0,No
0.28,10.36,25000.0,No
0.27,10.36,25000.0,No
0.1,11.01,22000.0,Yes
0.09,6.54,20000.0,No
0.04,12.53,10000.0,No
0.07,11.01,15000.0,No
0.04,11.01,10000.0,Yes
0.27,10.25,25000.0,No
0.29,15.95,25000.0,No
0.09,12.18,20000.0,Yes
0.1,11.83,24000.0,Yes
0.26,11.01,25000.0,No
0.26,10.62,25000.0,No
0.26,10.74,25000.0,No
0.04,10.25,10000.0,Yes
0.16,12.42,35000.0,No
0.07,15.27,15000.0,Yes
0.33,15.33,25000.0,No
0.26,15.21,25000.0,No
0.35,14.72,6250.0,No
0.26,15.7,25000.0,No
0.26,13.35,25000.0,No
0.08,11.01,1500.0,No
0.26,6.62,25000.0,No
0.26,13.61,25000.0,No
0.11,11.36,25000.0,Yes
0.02,7.68,5000.0,Yes
0.1,14.46,22000.0,Yes
0.01,11.83,2500.0,Yes
0.1,13.47,20000.0,No
0.09,11.49,20000.0,Yes
0.0,11.01,1000.0,Yes
0.07,6.03,15000.0,Yes
0.28,16.35,25000.0,No
0.28,11.01,25000.0,No
0.25,7.29,25000.0,No
0.25,11.36,25000.0,No
0.25,10.25,25000.0,No
0.25,11.12,25000.0,No
0.25,12.92,25000.0,Yes
0.08,18.64,18000.0,Yes
0.13,7.51,28000.0,Yes
0.22,16.7,4000.0,No
0.11,11.14,2100.0,No
0.24,18.3,25000.0,Yes
0.24,10.62,25000.0,Yes
0.06,11.99,14000.0,Yes
0.06,9.63,12000.0,Yes
0.06,18.25,10000.0,No
0.32,11.01,6000.0,No
0.24,14.84,25000.0,Yes
0.27,14.7,25000.0,No
0.27,16.02,25000.0,No
0.31,15.37,25000.0,No
0.23,10.99,25000.0,No
0.33,7.9,6200.0,No
0.12,10.99,25000.0,Yes
0.1,11.48,21000.0,Yes
0.09,14.26,20000.0,Yes
0.05,8.0,10000.0,Yes
0.05,11.26,9950.0,No
0.24,11.01,4475.0,No
0.26,16.32,25000.0,No
0.31,17.93,25000.0,No
0.23,11.36,25000.0,No
0.26,14.96,25000.0,No
0.23,13.43,25000.0,Yes
0.22,12.69,25000.0,Yes
0.22,12.73,25000.0,Yes
0.22,15.21,25000.0,No
0.09,12.68,1750.0,Yes
0.29,19.04,25000.0,No
0.24,15.95,25000.0,No
0.01,8.9,2600.0,No
0.04,7.9,8000.0,Yes
0.09,11.01,18000.0,No
0.1,11.99,21000.0,Yes
0.21,13.98,4000.0,No
0.24,10.99,4600.0,No
0.23,15.58,25000.0,No
0.28,10.99,25000.0,No
0.23,14.96,25000.0,No
0.09,15.31,1750.0,Yes
0.23,15.65,25000.0,No
0.21,9.33,25000.0,Yes
0.19,13.47,3600.0,No
0.2,10.36,25000.0,Yes
0.22,16.77,25000.0,No
0.22,14.59,25000.0,No
0.02,11.91,3500.0,No
0.03,8.38,7200.0,Yes
0.04,10.59,9000.0,Yes
0.04,14.27,8800.0,Yes
0.06,12.53,12000.0,No
0.13,16.0,25000.0,No
0.05,11.71,10000.0,Yes
0.17,11.54,3175.0,No
0.21,15.68,25000.0,No
0.08,10.59,1500.0,Yes
0.21,12.61,25000.0,No
0.19,11.01,25000.0,Yes
0.14,8.49,2800.0,No
0.16,17.27,30000.0,No
0.09,8.9,18000.0,Yes
0.05,11.11,10000.0,Yes
0.13,14.59,25000.0,No
0.06,12.42,13000.0,No
0.25,11.01,25000.0,No
0.19,15.7,25000.0,Yes
0.13,12.53,2500.0,No
0.03,16.49,5000.0,No
0.1,7.49,20000.0,Yes
0.21,14.96,25000.0,No
0.18,12.73,25000.0,No
0.17,10.65,25000.0,Yes
0.17,10.74,25000.0,No
0.17,9.99,25000.0,Yes
0.23,15.33,25000.0,No
0.05,7.29,1000.0,Yes
0.19,15.05,25000.0,No
0.16,10.75,25000.0,Yes
0.16,16.02,25000.0,Yes
0.16,11.49,25000.0,Yes
0.1,12.53,20000.0,No
0.06,13.57,12000.0,No
0.07,11.14,14000.0,Yes
0.12,12.87,24250.0,Yes
0.1,11.58,20000.0,No
0.01,11.12,1800.0,Yes
0.17,10.65,35000.0,Yes
0.15,10.37,25000.0,No
0.17,6.39,3300.0,No
0.15,16.07,25000.0,Yes
0.15,10.62,25000.0,Yes
0.16,18.09,3200.0,No
0.15,11.36,25000.0,Yes
0.15,12.53,25000.0,Yes
0.14,9.99,25000.0,Yes
0.14,10.36,25000.0,No
0.05,5.99,9600.0,Yes
0.13,15.62,24000.0,No
0.1,10.37,20000.0,No
0.13,19.74,25000.0,No
0.1,6.91,20000.0,Yes
0.3,7.9,6000.0,No
0.11,13.06,2275.0,Yes
0.1,6.39,2000.0,Yes
0.14,14.93,25000.0,No
0.27,12.84,5600.0,No
0.18,17.14,3625.0,No
0.27,7.14,5500.0,No
0.12,8.9,25000.0,No
0.1,12.42,2000.0,Yes
0.11,12.68,25000.0,Yes
0.13,11.03,25000.0,Yes
0.15,7.9,30000.0,Yes
0.18,10.65,35000.0,Yes
0.09,11.86,25000.0,No
0.25,8.94,5000.0,No
0.21,9.63,4375.0,No
0.41,14.22,24750.0,No
0.34,9.33,24750.0,No
0.24,13.85,24500.0,Yes
0.1,10.65,2000.0,No
0.22,11.46,24500.0,No
0.18,7.66,35000.0,Yes
0.06,16.77,12000.0,No
0.06,9.63,12000.0,Yes
0.13,12.23,25000.0,No
0.07,14.09,10000.0,No
0.37,13.98,24250.0,No
0.32,10.62,24250.0,No
0.18,11.01,3900.0,No
0.29,17.56,24250.0,No
0.36,14.96,24250.0,No
0.27,15.65,24250.0,No
0.3,15.7,24250.0,No
0.22,12.53,24250.0,No
0.26,17.56,24250.0,No
0.2,12.87,24250.0,No
0.19,15.7,24250.0,Yes
0.05,11.01,9000.0,Yes
0.08,11.14,15000.0,Yes
0.1,16.0,20000.0,Yes
0.13,15.65,25000.0,Yes
0.07,11.01,13750.0,Yes
0.08,15.31,15250.0,No
0.1,13.47,20000.0,Yes
0.22,13.85,4750.0,No
0.18,11.01,24250.0,No
0.28,10.39,6000.0,No
0.17,11.36,24250.0,No
0.14,11.83,24250.0,Yes
0.07,12.53,24250.0,Yes
0.18,14.96,24150.0,No
0.46,13.85,24000.0,No
0.42,11.58,24000.0,No
0.41,16.29,24000.0,No
0.41,11.01,24000.0,No
0.44,16.29,24000.0,No
0.38,10.74,24000.0,No
0.1,15.27,2250.0,Yes
0.42,17.8,24000.0,No
0.05,11.36,1000.0,Yes
0.4,17.56,24000.0,No
0.33,7.9,24000.0,No
0.33,10.99,24000.0,No
0.33,7.29,24000.0,No
0.33,10.75,24000.0,No
0.32,7.9,24000.0,No
0.32,14.84,24000.0,No
0.3,11.01,24000.0,No
0.23,11.01,4975.0,No
0.33,19.69,24000.0,No
0.3,11.01,24000.0,No
0.33,14.96,24000.0,No
0.3,6.99,24000.0,No
0.32,16.45,24000.0,No
0.28,10.99,24000.0,No
0.27,10.99,24000.0,No
0.13,7.9,3000.0,No
0.26,12.69,24000.0,No
0.26,10.37,24000.0,No
0.26,11.01,24000.0,No
0.29,15.83,24000.0,No
0.25,13.92,24000.0,No
0.09,11.49,2000.0,No
0.25,10.25,24000.0,No
0.15,7.49,3500.0,No
0.18,5.99,4000.0,No
0.26,12.92,24000.0,No
0.22,11.58,24000.0,No
0.21,8.9,24000.0,No
0.24,19.69,24000.0,No
0.21,6.54,24000.0,Yes
0.21,14.54,4900.0,No
0.22,11.11,5000.0,No
0.2,12.73,24000.0,No
0.18,15.62,24000.0,Yes
0.28,6.54,6250.0,No
0.2,11.01,24000.0,No
0.19,20.0,24000.0,No
0.17,9.91,24000.0,No
0.17,12.69,24000.0,Yes
0.18,20.0,24000.0,No
0.16,16.49,24000.0,Yes
0.11,15.95,2500.0,No
0.15,11.49,24000.0,Yes
0.15,10.99,24000.0,No
0.15,13.79,24000.0,Yes
0.17,20.0,24000.0,No
0.13,7.49,24000.0,Yes
0.14,16.0,24000.0,No
0.57,7.88,13000.0,No
0.28,10.62,6250.0,No
0.13,10.99,24000.0,Yes
0.13,18.3,24000.0,No
0.12,11.01,24000.0,Yes
0.11,11.36,2500.0,Yes
0.45,11.01,23975.0,No
0.16,13.47,23750.0,No
0.35,11.89,23600.0,No
0.44,12.18,10000.0,No
0.19,13.49,23600.0,Yes
0.26,14.5,23575.0,No
0.18,11.01,4000.0,No
0.24,15.31,5400.0,No
0.18,11.01,4000.0,No
0.15,11.01,3375.0,No
0.29,7.49,23400.0,No
0.43,11.01,23000.0,No
0.34,11.01,23000.0,No
0.32,12.18,23000.0,No
0.05,11.34,1200.0,Yes
0.3,9.91,23000.0,No
0.29,11.99,23000.0,No
0.28,9.62,23000.0,No
0.13,9.96,3000.0,No
0.24,11.01,23000.0,Yes
0.22,14.54,23000.0,No
0.32,11.36,22750.0,No
0.27,14.27,22500.0,No
0.13,11.99,3000.0,No
0.27,18.99,22500.0,No
0.25,16.7,22400.0,No
0.22,9.32,5000.0,No
0.52,12.69,22250.0,No
0.41,13.11,22000.0,No
0.35,10.74,22000.0,No
0.18,14.11,4200.0,No
0.32,9.63,22000.0,No
0.31,14.65,22000.0,No
0.3,10.25,22000.0,No
0.3,14.26,22000.0,No
0.13,9.91,3000.0,No
0.32,17.19,22000.0,No
0.26,11.36,22000.0,No
0.27,11.01,22000.0,No
0.24,10.59,22000.0,Yes
0.24,9.25,22000.0,No
0.15,8.49,3625.0,No
0.24,6.54,22000.0,No
0.25,8.49,6000.0,No
0.23,11.01,22000.0,Yes
0.22,12.69,22000.0,Yes
0.31,13.85,7400.0,No
0.17,7.4,4000.0,No
0.22,11.71,22000.0,No
0.23,11.48,22000.0,No
0.22,17.51,22000.0,No
0.15,14.61,3500.0,No
0.18,7.88,22000.0,No
0.17,11.01,22000.0,Yes
0.2,11.71,4950.0,No
0.31,11.99,21700.0,No
0.33,13.49,21600.0,No
0.31,20.0,21600.0,No
0.28,14.35,21600.0,No
0.22,13.61,21600.0,No
0.23,11.26,21600.0,No
0.1,10.59,2400.0,No
0.16,7.9,21600.0,No
0.29,5.99,7000.0,No
0.13,11.99,3000.0,No
0.3,16.89,21500.0,No
0.25,9.99,21500.0,No
0.15,15.33,21500.0,Yes
0.29,7.29,21450.0,No
0.55,12.42,21250.0,No
0.37,10.99,21250.0,No
0.34,6.91,21250.0,No
0.21,14.17,5000.0,No
0.33,10.25,21250.0,No
0.39,11.01,9250.0,No
0.31,15.95,21250.0,No
0.27,15.95,21250.0,No
0.49,12.53,21000.0,No
0.06,14.91,1400.0,No
0.12,11.01,3000.0,No
0.43,6.54,21000.0,No
0.04,11.01,1000.0,Yes
0.41,17.26,21000.0,No
0.27,11.36,21000.0,No
0.16,7.51,4000.0,No
0.29,10.71,21000.0,No
0.25,13.98,21000.0,Yes
0.27,14.09,21000.0,No
0.23,10.0,21000.0,Yes
0.21,15.33,5000.0,No
0.28,16.32,21000.0,No
0.22,7.9,21000.0,No
0.22,11.99,21000.0,Yes
0.21,10.75,21000.0,No
0.2,13.92,21000.0,Yes
0.19,9.91,21000.0,No
0.21,16.95,21000.0,No
0.18,7.9,21000.0,Yes
0.18,11.01,21000.0,Yes
0.17,16.49,21000.0,No
0.31,11.97,7500.0,No
0.26,6.17,6250.0,No
0.14,8.9,21000.0,No
0.14,12.99,21000.0,Yes
0.21,12.69,20900.0,No
0.61,9.64,15000.0,No
0.34,7.49,20500.0,No
0.24,13.16,20500.0,No
0.08,8.38,2100.0,Yes
0.21,10.25,20400.0,Yes
0.31,7.49,20375.0,No
0.62,9.76,20050.0,No
0.49,10.99,20000.0,No
0.2,11.71,5000.0,No
0.37,10.65,9250.0,Yes
0.46,12.53,20000.0,No
0.43,14.59,20000.0,No
0.51,12.61,20000.0,No
0.43,13.11,20000.0,No
0.25,10.65,6400.0,No
0.42,11.22,20000.0,No
0.49,16.0,20000.0,No
0.48,8.88,20000.0,No
0.41,12.53,20000.0,No
0.45,11.01,20000.0,No
0.19,5.99,4800.0,Yes
0.39,13.47,20000.0,No
0.39,6.99,20000.0,No
0.22,15.99,5650.0,Yes
0.15,11.01,3625.0,Yes
0.44,16.69,20000.0,No
0.43,11.11,20000.0,No
0.36,7.9,20000.0,No
0.36,10.25,20000.0,No
0.36,11.01,20000.0,No
0.05,7.49,1200.0,No
0.36,13.92,20000.0,No
0.42,14.74,20000.0,No
0.35,10.62,20000.0,No
0.34,10.65,20000.0,No
0.39,12.99,20000.0,No
0.34,11.36,20000.0,No
0.31,5.79,7500.0,Yes
0.33,6.54,20000.0,No
0.16,5.79,4000.0,No
0.33,7.49,20000.0,No
0.33,13.43,20000.0,No
0.33,13.22,20000.0,No
0.2,14.72,5000.0,Yes
0.37,15.68,20000.0,No
0.32,11.01,20000.0,No
0.32,11.48,20000.0,No
0.32,10.38,20000.0,No
0.32,12.53,20000.0,No
0.32,13.47,20000.0,No
0.32,12.21,20000.0,No
0.31,10.99,20000.0,No
0.31,11.36,20000.0,No
0.36,16.0,20000.0,No
0.06,7.74,1500.0,Yes
0.32,15.65,20000.0,No
0.35,11.78,20000.0,No
0.31,11.01,20000.0,No
0.35,16.77,20000.0,No
0.3,9.91,20000.0,No
0.34,15.65,20000.0,No
0.34,14.96,20000.0,No
0.3,11.83,20000.0,No
0.33,11.66,20000.0,No
0.3,12.18,20000.0,No
0.3,6.91,20000.0,No
0.3,6.91,20000.0,No
0.34,19.79,20000.0,No
0.3,9.88,20000.0,No
0.66,9.76,16600.0,Yes
0.3,12.53,20000.0,No
0.3,11.01,20000.0,No
0.29,6.99,7125.0,Yes
0.29,16.89,20000.0,No
0.32,17.49,20000.0,No
0.1,16.82,2500.0,Yes
0.15,11.01,3600.0,Yes
0.28,13.11,20000.0,No
0.28,7.66,20000.0,No
0.28,6.17,20000.0,No
0.31,16.35,20000.0,No
0.27,7.9,20000.0,No
0.3,16.49,20000.0,No
0.14,11.01,3550.0,Yes
0.28,8.0,7000.0,Yes
0.27,10.99,20000.0,No
0.3,6.91,7750.0,No
0.3,8.88,20000.0,No
0.27,11.01,20000.0,No
0.3,14.84,20000.0,No
0.3,11.12,20000.0,No
0.28,7.88,20000.0,No
0.27,11.01,20000.0,No
0.23,15.99,6000.0,No
0.22,10.99,5500.0,Yes
0.27,11.01,20000.0,No
0.31,15.65,20000.0,No
0.3,17.04,20000.0,No
0.27,12.21,20000.0,No
0.05,15.23,1275.0,Yes
0.3,14.11,20000.0,No
0.27,11.14,20000.0,No
0.09,11.49,2400.0,No
0.27,13.87,20000.0,No
0.28,10.08,20000.0,No
0.3,16.7,20000.0,No
0.3,18.64,20000.0,No
0.27,12.18,20000.0,No
0.15,11.01,3800.0,No
0.26,6.54,20000.0,No
0.29,14.61,20000.0,No
0.29,17.39,20000.0,No
0.26,11.12,20000.0,No
0.26,11.48,20000.0,No
0.26,12.42,20000.0,No
0.28,10.25,20000.0,No
0.25,10.65,20000.0,No
0.19,16.29,5000.0,No
0.25,10.37,20000.0,No
0.25,11.49,20000.0,No
0.38,10.59,10000.0,Yes
0.21,13.49,5375.0,Yes
0.28,11.01,20000.0,No
0.28,12.29,20000.0,No
0.14,17.27,3500.0,No
0.25,11.99,20000.0,No
0.28,14.84,20000.0,No
0.28,10.83,20000.0,No
0.25,13.22,20000.0,No
0.25,12.18,20000.0,No
0.25,11.11,20000.0,Yes
0.24,13.48,20000.0,No
0.24,10.75,20000.0,No
0.24,12.53,20000.0,Yes
0.26,14.84,20000.0,No
0.24,17.74,20000.0,Yes
0.24,9.99,20000.0,Yes
0.24,6.91,20000.0,Yes
0.26,11.01,20000.0,No
0.23,14.09,20000.0,Yes
0.11,11.49,3000.0,Yes
0.23,14.09,20000.0,No
0.3,15.2,20000.0,No
0.23,11.83,20000.0,Yes
0.23,12.21,6000.0,No
0.25,14.11,20000.0,No
0.25,14.42,20000.0,No
0.23,14.74,20000.0,Yes
0.22,12.69,20000.0,Yes
0.06,16.89,1625.0,No
0.22,11.01,20000.0,Yes
0.17,11.01,4500.0,No
0.32,9.63,8500.0,Yes
0.22,8.88,20000.0,No
0.22,6.91,20000.0,Yes
0.22,11.01,20000.0,No
0.22,10.38,20000.0,Yes
0.24,10.99,20000.0,No
0.22,11.01,20000.0,Yes
0.28,11.01,7575.0,Yes
0.19,12.42,5200.0,No
0.24,14.82,20000.0,No
0.22,16.32,20000.0,No
0.28,16.0,20000.0,No
0.22,10.37,20000.0,Yes
0.23,13.16,20000.0,No
0.23,14.88,20000.0,No
0.21,13.98,20000.0,Yes
0.23,13.36,20000.0,No
0.26,6.99,7125.0,No
0.15,5.42,4025.0,Yes
0.3,5.42,8000.0,Yes
0.21,13.85,20000.0,No
0.15,12.99,4000.0,Yes
0.16,9.99,4200.0,Yes
0.05,11.01,1400.0,Yes
0.21,11.01,20000.0,Yes
0.27,11.14,20000.0,No
0.14,5.99,3800.0,No
0.23,11.01,20000.0,No
0.21,11.58,20000.0,No
0.21,13.85,20000.0,Yes
0.21,16.89,20000.0,No
0.21,7.9,20000.0,No
0.22,12.68,6000.0,Yes
0.26,14.91,20000.0,No
0.21,13.06,20000.0,Yes
0.21,8.88,20000.0,Yes
0.07,6.17,2000.0,Yes
0.21,13.98,20000.0,Yes
0.32,6.54,8500.0,No
0.26,13.85,20000.0,No
0.04,10.36,1000.0,Yes
0.22,15.95,20000.0,No
0.21,14.26,20000.0,No
0.2,11.71,20000.0,Yes
0.2,13.49,20000.0,Yes
0.07,14.84,2000.0,No
0.2,11.01,20000.0,No
0.22,15.05,20000.0,No
0.21,13.79,20000.0,No
0.2,13.48,20000.0,No
0.11,6.76,3000.0,No
0.2,11.11,20000.0,Yes
0.2,13.92,20000.0,Yes
0.16,12.53,4400.0,Yes
0.37,11.14,10000.0,Yes
0.21,14.11,20000.0,No
0.19,7.49,20000.0,Yes
0.19,10.25,20000.0,Yes
0.23,12.53,20000.0,No
0.05,11.86,1500.0,Yes
0.33,7.88,9000.0,Yes
0.19,11.01,20000.0,No
0.15,11.01,4000.0,Yes
0.19,13.85,20000.0,Yes
0.22,13.23,6000.0,Yes
0.18,11.01,20000.0,Yes
0.21,18.25,20000.0,No
0.18,6.54,20000.0,No
0.18,11.49,20000.0,Yes
0.18,11.49,20000.0,Yes
0.25,11.71,7000.0,No
0.18,13.57,20000.0,Yes
0.18,14.35,20000.0,Yes
0.14,10.65,3825.0,Yes
0.18,15.65,20000.0,No
0.24,11.01,6500.0,Yes
0.21,6.62,5875.0,No
0.18,9.25,20000.0,Yes
0.09,11.71,2400.0,Yes
0.29,5.42,8000.0,Yes
0.18,9.45,20000.0,Yes
0.06,7.49,1550.0,No
0.18,11.01,20000.0,Yes
0.2,11.01,20000.0,No
0.17,10.99,20000.0,No
0.17,11.01,20000.0,No
0.27,7.66,7350.0,Yes
0.17,13.04,20000.0,Yes
0.26,7.14,7200.0,No
0.19,15.65,20000.0,No
0.17,11.83,20000.0,Yes
0.11,16.0,3000.0,Yes
0.17,15.28,20000.0,Yes
0.15,15.05,4000.0,No
0.31,15.05,8500.0,No
0.17,14.22,20000.0,No
0.19,16.35,20000.0,No
0.28,10.96,7500.0,Yes
0.17,13.06,20000.0,No
0.17,13.06,20000.0,Yes
0.27,11.01,7500.0,No
0.24,11.01,6700.0,Yes
0.22,14.96,20000.0,No
0.22,17.04,20000.0,No
0.16,12.21,20000.0,Yes
0.23,7.88,6400.0,Yes
0.2,5.42,5400.0,No
0.16,10.74,20000.0,Yes
0.18,13.22,20000.0,No
0.17,14.59,20000.0,No
0.15,11.01,20000.0,No
0.17,11.01,20000.0,No
0.15,12.42,20000.0,No
0.15,14.17,20000.0,Yes
0.15,13.72,20000.0,Yes
0.15,10.38,20000.0,Yes
0.15,11.01,20000.0,No
0.07,7.51,2000.0,Yes
0.25,11.71,7125.0,No
0.11,8.9,3000.0,No
0.19,17.39,20000.0,No
0.17,5.79,4800.0,No
0.29,12.61,8300.0,No
0.14,10.37,20000.0,Yes
0.17,11.36,4750.0,Yes
0.14,8.9,20000.0,No
0.13,11.11,20000.0,No
0.1,8.94,3000.0,Yes
0.13,15.27,20000.0,No
0.13,13.11,20000.0,Yes
0.21,16.0,6000.0,Yes
0.12,12.36,20000.0,Yes
0.38,7.51,10625.0,Yes
0.25,8.9,7000.0,Yes
0.12,6.54,20000.0,Yes
0.12,15.99,20000.0,No
0.13,17.27,3600.0,No
0.11,17.99,20000.0,No
0.1,7.49,20000.0,Yes
0.17,10.0,4800.0,Yes
0.1,9.99,20000.0,Yes
0.1,11.36,20000.0,No
0.1,11.83,20000.0,No
0.1,13.35,3000.0,Yes
0.09,14.72,20000.0,Yes
0.15,6.76,4400.0,No
0.28,11.83,19900.0,No
0.14,11.48,19800.0,Yes
0.02,11.41,500.0,No
0.35,11.01,10000.0,No
0.03,12.29,700.0,Yes
0.24,14.96,7000.0,Yes
0.03,12.29,750.0,Yes
0.08,10.37,1000.0,No
0.08,14.74,1000.0,No
0.08,13.43,1000.0,No
0.08,9.63,2400.0,No
0.08,12.21,2400.0,Yes
0.07,10.25,1000.0,No
0.07,12.99,1000.0,Yes
0.07,13.98,1000.0,Yes
0.06,14.65,1000.0,Yes
0.07,10.65,1000.0,No
0.07,13.98,1000.0,Yes
0.07,13.57,1000.0,No
0.06,14.96,1000.0,No
0.06,10.0,1000.0,No
0.05,16.29,1000.0,No
0.07,11.11,2000.0,No
