person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24.0,male,Associate,48829.0,2,RENT,10000.0,DEBTCONSOLIDATION,11.99,0.2,3.0,555,Yes,0
23.0,male,Master,48964.0,0,RENT,1500.0,VENTURE,11.78,0.03,2.0,676,No,0
23.0,male,Bachelor,100686.0,5,MORTGAGE,24175.0,EDUCATION,11.11,0.24,2.0,644,No,1
26.0,female,Master,61455.0,3,OWN,6725.0,VENTURE,10.62,0.11,4.0,648,No,0
31.0,male,High School,43988.0,8,RENT,1450.0,VENTURE,11.01,0.03,7.0,541,Yes,0
37.0,male,High School,91181.0,13,RENT,10000.0,HOMEIMPROVEMENT,7.15,0.11,14.0,562,Yes,0
28.0,female,High School,71509.0,2,MORTGAGE,20000.0,MEDICAL,14.91,0.28,10.0,681,No,1
23.0,male,High School,138305.0,0,MORTGAGE,10000.0,EDUCATION,13.06,0.07,3.0,498,Yes,0
27.0,female,Associate,28573.0,3,RENT,8500.0,VENTURE,11.01,0.3,7.0,620,No,1
25.0,male,Bachelor,130423.0,2,MORTGAGE,15000.0,MEDICAL,10.39,0.12,4.0,536,Yes,0
25.0,female,Bachelor,65512.0,7,RENT,4000.0,EDUCATION,11.89,0.06,2.0,640,No,0
25.0,male,High School,87246.0,4,MORTGAGE,14000.0,MEDICAL,12.39,0.16,3.0,611,No,0
39.0,female,High School,241019.0,18,MORTGAGE,18000.0,EDUCATION,10.99,0.07,13.0,590,Yes,0
34.0,female,High School,39078.0,13,RENT,3000.0,VENTURE,11.49,0.08,8.0,641,No,0
23.0,male,Associate,54705.0,4,RENT,4800.0,PERSONAL,13.98,0.09,2.0,644,Yes,0
29.0,male,Associate,109039.0,8,MORTGAGE,14000.0,DEBTCONSOLIDATION,7.9,0.13,9.0,682,Yes,0
23.0,female,High School,65413.0,0,MORTGAGE,8572.0,HOMEIMPROVEMENT,7.87,0.13,3.0,595,Yes,0
26.0,male,Bachelor,31074.0,5,RENT,6500.0,MEDICAL,14.09,0.21,2.0,703,No,1
23.0,female,Bachelor,120886.0,2,MORTGAGE,10000.0,VENTURE,7.66,0.08,2.0,631,No,0
24.0,male,Bachelor,24085.0,3,RENT,1000.0,EDUCATION,12.53,0.04,4.0,655,Yes,0
28.0,male,Bachelor,259694.0,9,MORTGAGE,21000.0,HOMEIMPROVEMENT,11.99,0.08,6.0,678,Yes,0
25.0,male,High School,88675.0,4,MORTGAGE,6500.0,VENTURE,6.03,0.07,3.0,678,Yes,0
29.0,female,Bachelor,93260.0,6,RENT,12000.0,EDUCATION,11.01,0.13,9.0,677,Yes,0
32.0,female,High School,66752.0,11,RENT,18000.0,DEBTCONSOLIDATION,10.38,0.27,7.0,588,No,1
32.0,male,Bachelor,175043.0,7,MORTGAGE,20000.0,DEBTCONSOLIDATION,11.36,0.11,8.0,669,No,0
25.0,female,Associate,68099.0,1,MORTGAGE,6000.0,MEDICAL,10.59,0.09,3.0,642,Yes,0
26.0,female,Bachelor,75640.0,5,RENT,6000.0,PERSONAL,11.12,0.08,3.0,646,No,1
24.0,male,Bachelor,90876.0,3,RENT,14000.0,MEDICAL,16.45,0.15,2.0,545,No,1
23.0,male,High School,55181.0,0,RENT,10000.0,EDUCATION,11.1,0.18,3.0,597,Yes,0
70.0,male,Bachelor,36838.0,47,RENT,1000.0,DEBTCONSOLIDATION,17.49,0.03,21.0,643,No,1
29.0,male,Associate,104183.0,6,MORTGAGE,4095.0,DEBTCONSOLIDATION,14.81,0.04,5.0,613,No,1
41.0,male,Bachelor,123408.0,18,MORTGAGE,7500.0,VENTURE,11.49,0.06,17.0,646,Yes,0
36.0,female,High School,62121.0,11,MORTGAGE,4775.0,HOMEIMPROVEMENT,11.14,0.08,14.0,640,No,0
24.0,male,Associate,71627.0,0,RENT,12000.0,MEDICAL,17.72,0.17,3.0,594,No,1
29.0,female,High School,118606.0,4,MORTGAGE,14000.0,MEDICAL,9.54,0.12,5.0,624,Yes,0
27.0,female,Master,37104.0,5,RENT,4000.0,MEDICAL,10.39,0.11,9.0,717,No,0
23.0,male,Bachelor,109167.0,0,RENT,25000.0,DEBTCONSOLIDATION,11.36,0.23,3.0,678,No,0
22.0,female,High School,78841.0,1,RENT,16000.0,PERSONAL,10.17,0.2,3.0,647,No,0
30.0,male,Bachelor,85987.0,8,RENT,8000.0,MEDICAL,11.12,0.09,8.0,584,No,0
25.0,female,High School,51540.0,3,RENT,6000.0,MEDICAL,11.01,0.12,4.0,599,Yes,0
36.0,male,Master,192800.0,11,MORTGAGE,10000.0,EDUCATION,12.73,0.05,15.0,673,No,0
22.0,female,Bachelor,51466.0,2,RENT,2000.0,EDUCATION,10.36,0.04,4.0,668,Yes,0
23.0,female,High School,91120.0,4,RENT,15000.0,MEDICAL,11.01,0.16,3.0,673,Yes,0
23.0,female,Bachelor,114961.0,1,RENT,20000.0,DEBTCONSOLIDATION,14.59,0.17,2.0,654,No,1
25.0,female,Bachelor,120761.0,2,MORTGAGE,7500.0,EDUCATION,6.54,0.06,4.0,626,Yes,0
26.0,male,High School,41908.0,3,OWN,10657.0,VENTURE,12.07,0.25,9.0,606,Yes,0
39.0,female,Associate,146696.0,16,MORTGAGE,1450.0,VENTURE,6.76,0.01,17.0,669,No,0
69.0,male,Bachelor,29668.0,45,RENT,6000.0,MEDICAL,6.62,0.2,23.0,724,No,0
21.0,male,High School,98164.0,0,OWN,8400.0,EDUCATION,12.53,0.09,3.0,620,No,0
52.0,male,Associate,196732.0,27,MORTGAGE,25000.0,PERSONAL,14.11,0.13,30.0,630,No,1
21.0,male,Associate,44117.0,0,MORTGAGE,1000.0,MEDICAL,12.42,0.02,2.0,656,Yes,0
23.0,female,Master,80049.0,0,MORTGAGE,12000.0,VENTURE,7.51,0.15,3.0,584,Yes,0
26.0,male,Associate,90964.0,5,RENT,10000.0,EDUCATION,7.49,0.11,4.0,595,Yes,0
27.0,male,Associate,35747.0,4,RENT,3000.0,HOMEIMPROVEMENT,7.01,0.08,5.0,652,No,1
24.0,male,Bachelor,48003.0,1,RENT,8000.0,HOMEIMPROVEMENT,11.01,0.17,2.0,629,No,1
39.0,male,High School,30592.0,17,OWN,8000.0,PERSONAL,7.51,0.26,14.0,619,No,0
26.0,female,Bachelor,55067.0,0,RENT,4000.0,MEDICAL,12.21,0.07,2.0,607,Yes,0
23.0,female,High School,78658.0,0,MORTGAGE,10200.0,MEDICAL,7.9,0.13,3.0,608,Yes,0
52.0,male,High School,63561.0,26,MORTGAGE,10000.0,PERSONAL,11.01,0.16,29.0,669,Yes,0
24.0,female,Associate,96570.0,5,RENT,16000.0,HOMEIMPROVEMENT,14.25,0.17,4.0,522,Yes,0
25.0,male,High School,82104.0,2,MORTGAGE,3000.0,MEDICAL,14.35,0.04,3.0,556,Yes,0
29.0,female,Doctorate,190509.0,5,OWN,20000.0,MEDICAL,6.54,0.1,5.0,687,Yes,0
25.0,female,High School,32604.0,0,RENT,4800.0,PERSONAL,10.65,0.15,4.0,535,Yes,0
26.0,female,Master,72706.0,2,MORTGAGE,9800.0,PERSONAL,7.75,0.13,3.0,636,Yes,0
41.0,male,Associate,216865.0,18,OWN,14000.0,MEDICAL,5.99,0.06,11.0,694,Yes,0
22.0,female,High School,81282.0,1,RENT,20000.0,EDUCATION,12.18,0.25,2.0,639,No,0
24.0,female,Associate,104179.0,3,MORTGAGE,15000.0,VENTURE,13.16,0.14,3.0,658,Yes,0
21.0,male,Bachelor,37107.0,1,RENT,3200.0,PERSONAL,11.01,0.09,2.0,692,Yes,0
28.0,male,Bachelor,71830.0,8,OWN,23500.0,EDUCATION,11.01,0.33,7.0,608,Yes,0
22.0,female,Bachelor,41747.0,0,RENT,1200.0,HOMEIMPROVEMENT,14.61,0.03,4.0,508,No,1
29.0,female,Associate,25018.0,7,OWN,5000.0,HOMEIMPROVEMENT,6.7,0.2,7.0,695,No,0
38.0,male,Associate,48284.0,15,RENT,12000.0,PERSONAL,11.71,0.25,13.0,649,No,1
24.0,female,High School,126877.0,0,MORTGAGE,9865.0,EDUCATION,9.76,0.08,3.0,620,Yes,0
24.0,female,Bachelor,67169.0,1,RENT,10000.0,MEDICAL,12.99,0.15,2.0,635,No,0
43.0,female,Associate,72850.0,20,MORTGAGE,10000.0,HOMEIMPROVEMENT,9.88,0.14,16.0,629,No,0
22.0,male,Associate,23032.0,0,RENT,5400.0,DEBTCONSOLIDATION,15.23,0.23,4.0,642,No,1
22.0,female,High School,21470.0,0,RENT,4000.0,DEBTCONSOLIDATION,14.27,0.19,4.0,597,No,1
26.0,female,High School,98509.0,6,MORTGAGE,9100.0,EDUCATION,10.95,0.09,4.0,588,Yes,0
29.0,female,Bachelor,72879.0,5,RENT,12000.0,MEDICAL,9.91,0.16,7.0,665,Yes,0
22.0,male,Associate,46404.0,1,MORTGAGE,8500.0,DEBTCONSOLIDATION,5.42,0.18,2.0,636,Yes,0
26.0,female,Associate,72586.0,5,MORTGAGE,10000.0,PERSONAL,12.21,0.14,4.0,633,No,1
27.0,female,Bachelor,291769.0,8,MORTGAGE,12000.0,MEDICAL,16.64,0.04,6.0,687,No,1
23.0,male,High School,44135.0,0,RENT,15000.0,VENTURE,13.49,0.34,3.0,582,No,1
22.0,male,Bachelor,65915.0,0,MORTGAGE,7000.0,MEDICAL,10.97,0.11,3.0,571,Yes,0
29.0,male,Bachelor,49954.0,9,RENT,2700.0,VENTURE,11.71,0.05,7.0,685,Yes,0
30.0,female,Bachelor,55012.0,5,RENT,10000.0,VENTURE,13.36,0.18,9.0,563,Yes,0
25.0,female,High School,155087.0,6,MORTGAGE,15000.0,HOMEIMPROVEMENT,12.53,0.1,3.0,566,Yes,0
29.0,female,Bachelor,74324.0,4,MORTGAGE,17000.0,HOMEIMPROVEMENT,6.03,0.23,10.0,687,No,0
27.0,male,Master,39981.0,7,RENT,4920.0,MEDICAL,14.48,0.12,7.0,623,No,1
30.0,male,Master,79187.0,8,MORTGAGE,6250.0,PERSONAL,12.87,0.08,9.0,644,Yes,0
27.0,male,Master,58021.0,4,MORTGAGE,13000.0,MEDICAL,7.88,0.22,8.0,664,No,1
25.0,female,Associate,85845.0,1,RENT,10000.0,MEDICAL,16.77,0.12,3.0,629,No,1
23.0,male,High School,12821.0,0,RENT,1703.0,VENTURE,13.57,0.13,3.0,552,No,1
23.0,male,Associate,61182.0,0,RENT,3000.0,EDUCATION,6.91,0.05,2.0,642,Yes,0
27.0,female,Doctorate,19647.0,5,OWN,6400.0,EDUCATION,7.74,0.33,9.0,685,No,1
23.0,male,High School,45598.0,0,MORTGAGE,3600.0,MEDICAL,15.62,0.08,4.0,626,No,1
24.0,male,High School,87143.0,5,MORTGAGE,6000.0,VENTURE,9.99,0.07,2.0,621,Yes,0
25.0,female,High School,54971.0,2,RENT,15000.0,DEBTCONSOLIDATION,11.01,0.27,3.0,671,No,1
24.0,female,Associate,84631.0,3,MORTGAGE,12000.0,PERSONAL,17.56,0.14,3.0,631,Yes,0
31.0,female,High School,36070.0,8,RENT,13250.0,HOMEIMPROVEMENT,17.58,0.37,6.0,644,No,1
23.0,female,High School,91184.0,0,RENT,5000.0,VENTURE,11.21,0.05,4.0,605,Yes,0
23.0,female,Bachelor,52053.0,0,RENT,6200.0,PERSONAL,13.92,0.12,2.0,697,Yes,0
32.0,female,Master,23740.0,9,RENT,8325.0,VENTURE,6.62,0.35,10.0,629,No,1
45.0,male,Master,64062.0,23,RENT,13000.0,MEDICAL,6.92,0.2,15.0,648,No,0
32.0,male,Associate,63619.0,9,MORTGAGE,1000.0,VENTURE,6.99,0.02,7.0,682,Yes,0
26.0,male,Master,41524.0,6,RENT,13000.0,EDUCATION,13.57,0.31,4.0,649,No,1
25.0,female,Bachelor,209988.0,0,MORTGAGE,8800.0,EDUCATION,14.27,0.04,4.0,579,Yes,0
27.0,male,Master,64830.0,7,RENT,7000.0,MEDICAL,10.37,0.11,6.0,629,No,0
22.0,male,High School,18292.0,1,RENT,4000.0,DEBTCONSOLIDATION,10.91,0.22,2.0,583,No,1
21.0,male,Master,35471.0,3,RENT,4600.0,PERSONAL,11.01,0.13,2.0,668,No,0
25.0,female,High School,35216.0,0,RENT,8500.0,MEDICAL,11.14,0.24,3.0,635,No,0
23.0,female,Master,29941.0,1,RENT,9250.0,VENTURE,6.54,0.31,3.0,650,No,1
21.0,female,Bachelor,19931.0,0,RENT,8000.0,HOMEIMPROVEMENT,7.51,0.4,4.0,675,No,1
22.0,male,Associate,58388.0,0,MORTGAGE,6500.0,PERSONAL,6.17,0.11,2.0,554,Yes,0
26.0,male,Doctorate,56282.0,3,RENT,9000.0,PERSONAL,7.14,0.16,3.0,681,Yes,0
29.0,female,Master,69268.0,4,OWN,5000.0,MEDICAL,11.86,0.07,10.0,686,Yes,0
26.0,male,Bachelor,70059.0,2,RENT,10000.0,HOMEIMPROVEMENT,6.62,0.14,4.0,649,No,0
31.0,male,High School,66823.0,8,MORTGAGE,4015.0,PERSONAL,11.0,0.06,7.0,530,Yes,0
25.0,female,Associate,51452.0,7,OWN,8000.0,HOMEIMPROVEMENT,9.63,0.16,2.0,656,No,0
29.0,male,High School,87762.0,6,MORTGAGE,7000.0,MEDICAL,8.51,0.08,5.0,628,Yes,0
22.0,female,Bachelor,36519.0,0,RENT,5000.0,EDUCATION,13.26,0.14,4.0,476,Yes,0
26.0,female,Bachelor,58002.0,5,MORTGAGE,12000.0,DEBTCONSOLIDATION,9.07,0.21,5.0,635,No,0
33.0,male,Bachelor,36778.0,8,RENT,17975.0,DEBTCONSOLIDATION,8.49,0.49,8.0,696,No,1
25.0,male,High School,43918.0,2,RENT,10000.0,PERSONAL,11.01,0.23,2.0,694,Yes,0
27.0,male,Associate,58337.0,8,RENT,16000.0,VENTURE,14.22,0.27,5.0,592,No,1
22.0,male,High School,44148.0,2,RENT,10000.0,EDUCATION,13.48,0.23,4.0,618,Yes,0
30.0,female,Bachelor,79204.0,11,MORTGAGE,20000.0,VENTURE,16.77,0.25,6.0,560,Yes,0
22.0,male,High School,61084.0,2,MORTGAGE,9800.0,PERSONAL,16.32,0.16,3.0,598,Yes,0
25.0,male,High School,49096.0,2,RENT,10000.0,VENTURE,12.06,0.2,3.0,625,No,0
32.0,female,Master,162764.0,9,MORTGAGE,13000.0,PERSONAL,7.88,0.08,5.0,672,Yes,0
22.0,female,High School,78873.0,2,MORTGAGE,8100.0,DEBTCONSOLIDATION,13.11,0.1,4.0,655,No,0
22.0,male,High School,51269.0,1,MORTGAGE,3200.0,PERSONAL,7.9,0.06,3.0,519,No,1
23.0,female,Associate,114949.0,1,MORTGAGE,15000.0,HOMEIMPROVEMENT,17.03,0.13,2.0,671,No,1
23.0,male,Bachelor,37073.0,1,RENT,10000.0,EDUCATION,13.99,0.27,2.0,685,No,1
32.0,male,Master,75356.0,9,MORTGAGE,20000.0,MEDICAL,11.27,0.27,10.0,710,No,0
23.0,female,High School,81721.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,10.22,0.07,3.0,606,Yes,0
22.0,male,Master,45169.0,0,RENT,5000.0,VENTURE,9.99,0.11,3.0,700,Yes,0
25.0,male,High School,141433.0,4,MORTGAGE,8400.0,EDUCATION,7.29,0.06,3.0,526,Yes,0
26.0,male,Master,41924.0,2,RENT,9600.0,MEDICAL,9.88,0.23,2.0,603,No,0
24.0,male,Bachelor,48960.0,1,RENT,7000.0,MEDICAL,13.23,0.14,3.0,522,No,0
27.0,male,Associate,54641.0,6,RENT,12800.0,MEDICAL,11.83,0.23,9.0,684,No,0
24.0,male,Bachelor,132600.0,6,MORTGAGE,12000.0,PERSONAL,8.94,0.09,3.0,657,No,0
26.0,female,Bachelor,70599.0,2,RENT,6927.0,VENTURE,8.53,0.1,6.0,492,Yes,0
23.0,female,Bachelor,166609.0,1,RENT,5000.0,EDUCATION,14.91,0.03,2.0,639,No,1
22.0,female,Bachelor,52872.0,0,MORTGAGE,8400.0,PERSONAL,16.77,0.16,4.0,646,Yes,0
24.0,male,Bachelor,78812.0,0,RENT,5000.0,EDUCATION,12.16,0.06,2.0,644,Yes,0
39.0,male,High School,390999.0,18,MORTGAGE,18000.0,PERSONAL,14.96,0.05,14.0,663,Yes,0
27.0,female,High School,136165.0,3,MORTGAGE,10400.0,HOMEIMPROVEMENT,15.62,0.08,6.0,574,Yes,0
29.0,male,Associate,99636.0,8,MORTGAGE,20000.0,MEDICAL,10.99,0.2,7.0,658,Yes,0
31.0,male,Master,84819.0,13,MORTGAGE,6000.0,MEDICAL,7.49,0.07,7.0,634,No,0
29.0,male,Bachelor,24087.0,5,RENT,8120.0,PERSONAL,8.06,0.34,9.0,549,No,1
25.0,female,Associate,77829.0,2,MORTGAGE,14000.0,DEBTCONSOLIDATION,14.89,0.18,3.0,668,No,1
25.0,female,High School,92027.0,4,MORTGAGE,6000.0,PERSONAL,12.98,0.07,2.0,635,Yes,0
22.0,male,Associate,63239.0,2,MORTGAGE,20000.0,EDUCATION,13.99,0.32,3.0,663,Yes,0
26.0,female,Bachelor,83711.0,2,RENT,6200.0,EDUCATION,7.88,0.07,3.0,628,No,0
29.0,male,Associate,34391.0,8,RENT,8613.0,EDUCATION,17.85,0.25,9.0,660,No,1
26.0,male,High School,45284.0,2,RENT,6842.0,PERSONAL,7.73,0.15,2.0,681,Yes,0
26.0,male,Master,18705.0,4,RENT,2500.0,VENTURE,13.47,0.13,4.0,681,No,1
30.0,male,Associate,38585.0,8,RENT,3100.0,EDUCATION,13.35,0.08,10.0,612,Yes,0
38.0,female,High School,231498.0,16,MORTGAGE,5600.0,HOMEIMPROVEMENT,7.9,0.02,14.0,661,Yes,0
27.0,female,High School,51584.0,4,MORTGAGE,4200.0,HOMEIMPROVEMENT,6.76,0.08,7.0,659,No,0
28.0,male,High School,90965.0,9,RENT,10000.0,VENTURE,7.9,0.11,5.0,666,No,0
22.0,male,Bachelor,238655.0,0,MORTGAGE,24250.0,DEBTCONSOLIDATION,14.22,0.1,3.0,625,Yes,0
29.0,female,Bachelor,60823.0,6,MORTGAGE,5000.0,EDUCATION,10.05,0.08,6.0,655,Yes,0
23.0,male,High School,81240.0,0,MORTGAGE,7000.0,DEBTCONSOLIDATION,7.88,0.09,4.0,663,Yes,0
25.0,female,High School,83901.0,3,RENT,25000.0,PERSONAL,17.49,0.3,2.0,597,No,1
24.0,male,Bachelor,20118.0,2,RENT,2000.0,PERSONAL,15.05,0.1,4.0,603,No,1
32.0,female,Bachelor,91077.0,8,RENT,15000.0,HOMEIMPROVEMENT,8.88,0.16,9.0,605,No,1
42.0,female,Associate,57358.0,15,RENT,2800.0,PERSONAL,9.72,0.05,10.0,557,Yes,0
23.0,male,High School,99203.0,2,RENT,14400.0,VENTURE,7.66,0.15,2.0,662,No,0
21.0,female,High School,42678.0,0,MORTGAGE,6400.0,EDUCATION,7.51,0.15,2.0,489,Yes,0
22.0,female,Master,22615.0,0,RENT,3000.0,MEDICAL,13.99,0.13,4.0,687,No,1
22.0,female,High School,41052.0,3,RENT,1000.0,DEBTCONSOLIDATION,10.9,0.02,2.0,667,Yes,0
32.0,female,Master,69195.0,7,MORTGAGE,12987.0,PERSONAL,7.88,0.19,5.0,648,No,0
27.0,male,High School,58543.0,2,MORTGAGE,4300.0,DEBTCONSOLIDATION,12.69,0.07,7.0,653,Yes,0
25.0,male,Associate,85860.0,6,MORTGAGE,2400.0,DEBTCONSOLIDATION,17.04,0.03,3.0,493,No,1
27.0,female,Master,42148.0,5,RENT,6000.0,MEDICAL,15.15,0.14,10.0,645,No,0
23.0,male,Associate,35885.0,0,RENT,6000.0,VENTURE,5.99,0.17,3.0,524,Yes,0
29.0,male,High School,32311.0,6,RENT,7000.0,EDUCATION,11.01,0.22,9.0,552,Yes,0
27.0,female,High School,116156.0,3,MORTGAGE,12500.0,HOMEIMPROVEMENT,19.03,0.11,5.0,512,Yes,0
42.0,female,Bachelor,253243.0,21,MORTGAGE,16000.0,VENTURE,13.47,0.06,11.0,642,Yes,0
35.0,female,Associate,199023.0,12,MORTGAGE,8000.0,DEBTCONSOLIDATION,11.49,0.04,8.0,605,No,0
33.0,male,High School,68329.0,8,MORTGAGE,11500.0,PERSONAL,7.14,0.17,10.0,628,Yes,0
27.0,male,Bachelor,41515.0,6,RENT,7000.0,VENTURE,8.14,0.17,3.0,677,No,0
26.0,male,Associate,83672.0,4,MORTGAGE,6000.0,MEDICAL,7.14,0.07,3.0,652,Yes,0
29.0,male,Bachelor,63127.0,10,MORTGAGE,1900.0,VENTURE,11.49,0.03,7.0,649,Yes,0
28.0,female,Bachelor,84814.0,5,RENT,10000.0,MEDICAL,13.48,0.12,9.0,680,Yes,0
30.0,male,Master,92770.0,3,MORTGAGE,12000.0,MEDICAL,6.54,0.13,5.0,624,Yes,0
24.0,female,Bachelor,76545.0,2,MORTGAGE,11400.0,PERSONAL,13.79,0.15,4.0,676,Yes,0
35.0,male,Associate,46655.0,15,MORTGAGE,2400.0,MEDICAL,10.37,0.05,5.0,565,Yes,0
23.0,female,Bachelor,97085.0,3,MORTGAGE,3000.0,PERSONAL,5.99,0.03,3.0,553,Yes,0
24.0,female,High School,66918.0,1,RENT,25000.0,PERSONAL,13.22,0.37,4.0,630,No,1
26.0,male,High School,38271.0,4,RENT,4000.0,DEBTCONSOLIDATION,9.99,0.1,3.0,595,No,0
28.0,male,High School,191586.0,5,RENT,6000.0,PERSONAL,15.95,0.03,10.0,574,No,1
40.0,female,Associate,78111.0,15,RENT,3000.0,DEBTCONSOLIDATION,7.74,0.04,17.0,682,Yes,0
23.0,female,Bachelor,94323.0,0,RENT,6000.0,MEDICAL,9.99,0.06,2.0,639,Yes,0
25.0,female,Associate,97044.0,1,MORTGAGE,10000.0,MEDICAL,5.79,0.1,4.0,626,No,0
27.0,female,High School,140273.0,6,OWN,6000.0,MEDICAL,7.29,0.04,7.0,547,Yes,0
47.0,male,High School,78164.0,25,RENT,10000.0,EDUCATION,11.01,0.13,14.0,640,Yes,0
43.0,male,High School,84793.0,21,MORTGAGE,15000.0,PERSONAL,12.1,0.18,16.0,694,No,0
26.0,female,Bachelor,64725.0,4,RENT,6800.0,EDUCATION,9.91,0.11,4.0,646,No,0
22.0,male,Bachelor,48904.0,0,MORTGAGE,7500.0,MEDICAL,7.51,0.15,3.0,667,Yes,0
24.0,male,Master,66320.0,5,MORTGAGE,8000.0,PERSONAL,8.63,0.12,4.0,626,No,0
22.0,male,Associate,85000.0,3,OWN,12000.0,MEDICAL,12.53,0.14,2.0,525,Yes,0
21.0,female,High School,25606.0,0,RENT,4000.0,DEBTCONSOLIDATION,11.86,0.16,2.0,605,No,0
31.0,male,Master,56157.0,8,RENT,8000.0,PERSONAL,11.01,0.14,9.0,654,No,0
23.0,female,Associate,61087.0,0,RENT,8000.0,PERSONAL,10.62,0.13,4.0,634,No,0
22.0,male,Associate,45723.0,0,RENT,4500.0,VENTURE,11.03,0.1,2.0,517,Yes,0
30.0,female,Doctorate,241028.0,7,MORTGAGE,6000.0,MEDICAL,11.83,0.02,5.0,529,No,0
24.0,male,Bachelor,73352.0,1,RENT,20000.0,VENTURE,11.01,0.27,4.0,583,No,1
22.0,female,Associate,60408.0,1,RENT,2500.0,MEDICAL,14.27,0.04,2.0,677,Yes,0
25.0,male,Master,205111.0,1,MORTGAGE,3850.0,EDUCATION,6.17,0.02,4.0,693,No,0
22.0,female,Bachelor,73675.0,0,MORTGAGE,5300.0,PERSONAL,11.01,0.07,4.0,528,Yes,0
24.0,female,Associate,52342.0,3,RENT,16000.0,DEBTCONSOLIDATION,8.9,0.31,3.0,656,No,1
22.0,male,Master,32617.0,0,RENT,9900.0,EDUCATION,11.71,0.3,4.0,690,No,1
23.0,female,Associate,47735.0,0,RENT,5502.0,HOMEIMPROVEMENT,6.03,0.12,5.0,654,No,1
29.0,male,Associate,35221.0,8,RENT,4000.0,EDUCATION,10.59,0.11,8.0,665,Yes,0
29.0,female,Bachelor,170578.0,6,MORTGAGE,8000.0,VENTURE,6.99,0.05,9.0,595,No,0
29.0,female,Associate,77021.0,9,RENT,5400.0,PERSONAL,7.66,0.07,7.0,695,Yes,0
